Филиал;Серия;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054
Дальневосточный;М62ви;7 854 320;7 854 320;7 854 320;7 875 897;7 854 320;7 854 320;7 854 320;7 875 897;7 854 320;7 854 320;7 854 320;5 151 903;1 417 321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Дальневосточный;ТЭП70ви;1 240 156;1 240 156;1 240 156;1 243 563;1 240 156;1 240 156;1 240 156;1 243 563;1 240 156;1 240 156;1 240 156;1 243 563;1 240 156;1 240 156;1 240 156;651 390;649 605;649 605;649 605;651 390;649 605;649 605;649 605;651 390;649 605;649 605;649 605;651 390;649 605;649 605;649 605;651 390;649 605;649 605;649 605;651 390;649 605;0
Дальневосточный;ЭП1ви;5 806 496;5 806 496;5 806 496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Дальневосточный;ТЭ10ви;168 666 603;168 666 603;168 666 603;169 129 973;168 666 603;168 666 603;168 666 603;169 129 973;168 666 603;168 666 603;168 666 603;169 129 973;168 666 603;168 666 603;168 666 603;169 129 973;168 666 603;168 666 603;156 052 213;95 479 888;32 146 349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Дальневосточный;ВЛ80ви;282 343;282 343;282 343;283 118;282 343;282 343;282 343;283 118;282 343;282 343;188 229;188 746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Дальневосточный;2ЭС5Кви;2 723 051;2 723 051;2 723 051;2 730 532;2 723 051;2 723 051;2 723 051;2 730 532;2 723 051;2 723 051;2 723 051;2 730 532;2 723 051;2 723 051;2 723 051;2 730 532;2 723 051;2 723 051;2 723 051;2 590 505;1 117 149;488 753;488 753;490 095;488 753;488 753;488 753;0;0;0;0;0;0;0;0;0;0;0
Дальневосточный;3ЭС5Кви;940 255;940 255;940 255;942 838;940 255;940 255;940 255;942 838;940 255;940 255;940 255;942 838;940 255;940 255;940 255;942 838;940 255;940 255;564 153;565 703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западно-Сибирский;ТЭ10ви;3 102 840;3 102 840;3 102 840;3 111 364;3 102 840;3 102 840;3 102 840;3 111 364;3 102 840;3 102 840;3 102 840;3 111 364;3 102 840;3 102 840;3 102 840;3 111 364;3 102 840;3 102 840;3 102 840;1 885 675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западно-Сибирский;ВЛ80ви;1 410 382;1 410 382;1 410 382;1 414 256;1 410 382;1 410 382;1 410 382;1 414 256;1 410 382;1 410 382;1 410 382;1 414 256;1 410 382;1 128 305;846 229;565 703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западно-Сибирский;ЭП1ви;658 800;658 800;658 800;660 610;658 800;658 800;658 800;660 610;658 800;658 800;658 800;660 610;658 800;658 800;658 800;519 051;188 229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Западно-Сибирский;ЧС2ви;501 107;501 107;501 107;502 483;501 107;501 107;501 107;502 483;501 107;501 107;501 107;502 483;501 107;501 107;501 107;502 483;501 107;501 107;501 107;502 483;501 107;501 107;501 107;502 483;501 107;501 107;501 107;502 483;501 107;0;0;0;0;0;0;0;0;0
Западно-Сибирский;ЭП2Кви;1 904 205;1 904 205;1 904 205;1 909 437;1 904 205;1 904 205;1 904 205;1 909 437;1 904 205;1 904 205;1 904 205;1 909 437;1 904 205;1 904 205;1 904 205;1 909 437;1 904 205;1 904 205;1 904 205;1 909 437;1 904 205;1 904 205;1 904 205;1 909 437;1 904 205;1 904 205;1 904 205;1 909 437;1 904 205;2 405 312;2 405 312;2 411 920;2 405 312;2 405 312;2 405 312;2 411 920;2 405 312;2 405 312
Западно-Сибирский;ТЭП70ви;263 932;263 932;263 932;264 657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Северо-Западный;М62ви;9 965 592;9 965 592;9 965 592;9 992 970;9 965 592;9 965 592;9 965 592;9 992 970;9 965 592;9 965 592;9 965 592;9 992 970;9 965 592;9 965 592;9 965 592;35 345 870;35 249 032;35 249 032;35 249 032;35 345 870;35 249 032;35 249 032;35 249 032;35 345 870;35 249 032;35 249 032;35 249 032;35 345 870;35 249 032;35 249 032;35 249 032;35 345 870;35 249 032;35 249 032;35 249 032;35 345 870;35 249 032;35 249 032
Северо-Западный;ТЭП70ви;188 051;188 051;188 051;188 568;188 051;188 051;188 051;188 568;188 051;188 051;188 051;188 568;188 051;188 051;188 051;188 568;188 051;188 051;188 051;188 568;188 051;188 051;188 051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Восточно-Сибирский;ВЛ80ви;329 400;329 400;329 400;330 305;329 400;329 400;329 400;330 305;329 400;329 400;329 400;330 305;329 400;329 400;329 400;283 118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московский;ЧС2ви;25 283 440;25 283 440;25 283 440;25 352 900;25 283 440;25 283 440;25 283 440;25 352 900;25 283 440;25 283 440;25 283 440;25 352 900;25 283 440;25 283 440;25 283 440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московский;ЧС7ви;7 324 485;7 324 485;7 324 485;7 344 607;7 324 485;6 917 569;6 917 569;6 528 539;6 510 653;6 510 653;4 882 990;4 080 337;4 069 158;4 069 158;4 069 158;4 080 337;4 069 158;4 069 158;2 034 579;2 040 169;2 034 579;2 034 579;2 034 579;2 040 169;2 034 579;2 034 579;2 034 579;2 040 169;2 034 579;2 034 579;2 034 579;2 040 169;2 034 579;2 034 579;2 034 579;2 040 169;2 034 579;2 034 579
Московский;М62ви;3 675 402;918 851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московский;ТЭ10ви;11 381 565;11 381 565;11 381 565;11 412 833;11 381 565;11 381 565;11 381 565;11 412 833;11 381 565;11 381 565;11 381 565;11 412 833;11 381 565;11 193 440;5 925 939;2 075 061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московский;ТЭ25ви;23 327 505;23 327 505;23 327 505;23 391 591;23 327 505;23 327 505;23 327 505;23 391 591;23 327 505;23 327 505;23 327 505;23 391 591;23 327 505;23 327 505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московский;ВЛ60ви;1 010 736;1 010 736;1 010 736;1 013 512;1 010 736;1 010 736;1 010 736;1 013 512;1 010 736;1 010 736;1 010 736;1 013 512;1 010 736;1 010 736;1 010 736;1 013 512;1 010 736;1 010 736;735 080;552 825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московский;ВЛ80ви;2 163 438;2 163 438;2 163 438;2 169 381;2 163 438;2 163 438;2 163 438;2 169 381;2 163 438;2 163 438;2 163 438;2 169 381;2 163 438;2 163 438;2 163 438;2 169 381;2 163 438;2 163 438;2 163 438;1 414 814;282 188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
